iter	Passed	Remaining
1278	39330	40622
1279	39355	40585
1280	39379	40547
1281	39404	40511
1282	39431	40476
1283	39455	40438
1284	39482	40403
1285	39513	40373
1286	39540	40338
1287	39562	40299
1288	39589	40265
1289	39613	40228
1290	39636	40189
1291	39661	40153
1292	39693	40123
1293	39718	40087
1294	39742	40049
1295	39766	40012
1296	39792	39976
1297	39818	39941
1298	39844	39906
1299	39877	39877
1300	39905	39843
1301	39930	39807
1302	39957	39773
1303	39984	39739
1304	40010	39703
1305	40035	39667
1306	40066	39637
1307	40096	39606
1308	40119	39567
1309	40143	39530
1310	40167	39493
1311	40193	39458
1312	40218	39421
1313	40250	39392
1314	40274	39356
1315	40299	39319
1316	40323	39282
1317	40347	39245
1318	40371	39208
1319	40397	39173
1320	40430	39145
1321	40457	39111
1322	40481	39073
1323	40505	39037
1324	40529	38999
1325	40556	38965
1326	40579	38928
1327	40611	38899
1328	40635	38862
1329	40662	38828
1330	40688	38793
1331	40715	38758
1332	40740	38723
1333	40766	38688
1334	40799	38659
1335	40824	38624
1336	40848	38587
1337	40872	38551
1338	40897	38514
1339	40921	38478
1340	40945	38442
1341	40981	38416
1342	41008	38382
1343	41034	38347
1344	41058	38311
1345	41083	38275
1346	41106	38238
1347	41131	38202
1348	41167	38176
1349	41194	38143
1350	41217	38105
1351	41243	38070
1352	41270	38037
1353	41298	38004
1354	41324	37969
1355	41356	37941
1356	41381	37905
1357	41407	37870
1358	41432	37834
1359	41457	37799
1360	41482	37764
1361	41508	37729
1362	41536	37696
1363	41564	37664
1364	41590	37629
1365	41615	37594
1366	41639	37557
1367	41663	37521
1368	41690	37488
1369	41715	37452
1370	41749	37425
1371	41803	37415
1372	41829	37381
1373	41854	37345
1374	41880	37311
1375	41908	37279
1376	41939	37249
1377	41966	37215
1378	41991	37180
1379	42016	37145
1380	42041	37109
1381	42068	37076
1382	42094	37042
1383	42127	37013
1384	42156	36982
1385	42182	36947
1386	42209	36913
1387	42234	36879
1388	42259	36843
